Episode,Reward,Avg Reward,Loss,Average Q,Total Frames,Number of completed tasks,Energy Consumption,Epsilon,The Ratio Energy to Tasks
128,4857.498389597808,203675.1818078784,0.0,0.0,12880,42,6238.635470735948,0.0989203751087188,71.53015699476236
129,4872.266832857858,203266.2687583379,0.0,0.0,12980,45,6507.854550736824,0.0988828763365745,60.54427840974176
130,4848.596118663641,202900.6108402305,0.0,0.0,13080,40,6500.269921571485,0.0988453775644302,74.53909238354973
131,4861.665247040946,202577.32399093563,0.0,0.0,13180,43,6365.961240723477,0.0988078787922859,68.2769672641467
132,4855.771237613517,202295.4081561987,0.0,0.0,13280,41,6454.012874177838,0.0987703800201416,70.07502087445613
133,4888.991044173163,202054.18502828007,0.0,0.0,13380,53,6689.982891358678,0.0987328737974166,50.38741441146291
134,4847.869905539468,201852.445723779,0.0,0.0,13480,37,6461.467627427765,0.0986953750252723,81.53661935738008
135,4852.258525843325,201689.35154526943,0.0,0.0,13580,39,6411.878368571226,0.098657876253128,75.47859200251136
136,4840.931119804765,201563.97356732065,0.0,0.0,13680,37,6421.389157864894,0.0986203774809837,85.14749333999518
137,4843.92670049466,201475.5135796356,0.0,0.0,13780,37,6417.703340503694,0.0985828787088394,83.2707889097262
138,4833.469976518187,201423.09956282732,0.0,0.0,13880,35,6135.137616277454,0.0985453799366951,90.17317240344128
139,4840.163889355696,201406.0069168976,0.0,0.0,13980,35,6226.140693971302,0.0985078737139701,88.97718849513205
140,4857.714815403451,201423.60859796964,0.0,0.0,14080,40,6267.160123061043,0.0984703749418258,73.05241280257651
141,4864.421596174769,201475.2188581546,0.0,0.0,14180,45,6186.294763316705,0.0984328761696815,63.17296573612257
142,4850.024609085376,201560.0235525264,0.0,0.0,14280,38,6145.415469332373,0.0983953773975372,76.27878525045487
143,4862.389529077453,201677.41699787264,0.0,0.0,14380,43,6399.243282425149,0.0983578786253929,69.50428161405732
144,4867.852268996357,201826.76261824177,0.0,0.0,14480,42,6119.256810591218,0.0983203798532486,64.70606518940933
145,4855.3776696670975,202007.3184196309,0.0,0.0,14580,42,6366.595314408885,0.0982828736305236,70.09044664909223
146,4841.881066899106,202218.35564594605,0.0,0.0,14680,37,6052.011080329808,0.0982453748583793,83.09885428901887
147,4839.767336805351,202459.2421485056,0.0,0.0,14780,38,6202.537495089977,0.098207876086235,82.67980053904007
148,4840.493439235695,202729.3818083412,0.0,0.0,14880,36,6285.93043514784,0.0981703773140907,85.13442238875804
149,4836.694807268155,203028.164238094,0.0,0.0,14980,36,6484.049140047273,0.0981328785419464,87.79695720964567
150,4849.411978469987,203355.10459578692,0.0,0.0,15080,40,6487.163996158387,0.0980953797698021,79.20250380044817
151,4855.266074763378,203709.68564663385,0.0,0.0,15180,40,6609.284152679238,0.0980578735470771,71.74531550144893
152,4857.552616726316,204091.3803609776,0.0,0.0,15280,42,6074.365671039233,0.0980203747749328,69.49133402736264
153,4868.3343606978015,204499.7305618928,0.0,0.0,15380,49,6416.85115497991,0.0979828760027885,61.461263132543536
154,4868.527745381405,204934.22158437927,0.0,0.0,15480,44,6092.71555963842,0.0979453772306442,64.22403983792968
155,4851.636970891326,205394.2424461346,0.0,0.0,15580,41,6432.946213150099,0.0979078784584999,75.60527515315903
156,4869.552746589237,205879.4194290559,0.0,0.0,15680,48,6545.326713133425,0.0978703796863555,61.52174430398251
157,4873.184430558991,206389.2978706147,0.0,0.0,15780,47,6611.376770550515,0.0978328734636306,59.22803962224552
