Episode,Reward,Avg Reward,Loss,Average Q,Total Frames,Number of completed tasks,Energy Consumption,Epsilon,The Ratio Energy to Tasks
93,4831.296174497518,228751.03185964617,44.58628845214844,44.66911315917969,9399,46,4736.673760455858,0.2083600163459777,102.97116870556214
94,4813.914441525179,231160.08114894785,41.01112365722656,49.70082092285156,9499,40,5243.052840247459,0.1903600096702575,131.07632100618648
95,4794.688703678956,233568.88658538568,40.22172546386719,48.6821403503418,9599,32,5572.309927152179,0.1723600029945373,174.13468522350558
96,4826.072387030639,235977.77925392825,41.2725944519043,48.867095947265625,9699,46,5042.764194336021,0.1543599963188171,109.6253085725222
97,4820.056679700734,238386.69509943627,42.75915145874024,47.9840087890625,9799,45,5364.201309884258,0.1363599896430969,119.20447355298352
98,3947.090303725156,240786.8155773959,43.86832809448242,43.21857452392578,9881,36,4511.9215046389145,0.1215999722480773,125.33115290663652
99,4789.521081358715,238426.84263243552,44.91353225708008,36.68259048461914,9980,48,4986.597474596793,0.1037799715995788,103.8874473874332
100,4803.993931642277,236161.16612135203,44.105377197265625,36.44550704956055,10080,40,5674.445072386515,0.0999703779816627,141.86112680966286
101,4813.132599862505,233987.10221440604,47.259727478027344,43.334903717041016,10180,41,5209.80529376449,0.0999328792095184,127.0684217991339
102,4817.062715937824,231902.0207397885,43.7397346496582,47.06288146972656,10280,44,5365.882658613542,0.0998953729867935,121.95187860485322
103,4818.649402031897,229903.37015316405,41.31305313110352,48.14108276367188,10380,43,5434.62090753701,0.0998578742146492,126.38653273341885
104,4822.994007386733,227988.7223777836,44.90544128417969,43.05234909057617,10480,44,4754.317226521125,0.0998203754425048,108.05266423911648
105,4833.132918714982,226155.7956257001,42.01325607299805,38.99810791015625,10580,50,4755.082053963117,0.0997828766703605,95.10164107926234
106,4808.508708342044,224402.0685204625,42.82463836669922,45.2684326171875,10680,39,5106.287520958846,0.0997453778982162,130.930449255355
107,4805.593242499985,222725.31407682653,44.53273010253906,49.7510986328125,10780,41,5657.957482214675,0.0997078791260719,137.99896298084573
108,4803.557506831581,221123.3951046961,42.557952880859375,48.18995666503906,10880,39,5812.044211535205,0.099670372903347,149.02677465474886
109,4812.68032444772,219594.3535713721,44.01142883300781,42.46358489990234,10980,39,5166.042361354761,0.0996328741312027,132.46262465012208
110,4820.130576491159,218136.28693573404,42.986446380615234,49.51765060424805,11080,43,5258.247865452031,0.0995953753590583,122.2848340802798
111,4815.239574026811,216747.2504147862,44.43741607666016,40.51946640014648,11180,43,5584.168199604297,0.099557876586914,129.8643767349837
112,4813.843558801964,215425.3989964994,41.43198394775391,49.02215194702149,11280,43,5479.195203463285,0.0995203778147697,127.42314426658804
113,4805.577711751655,214168.89214442595,45.04999542236328,41.1824951171875,11380,36,5254.994734016509,0.0994828790426254,145.97207594490305
114,4811.4243449239,212976.0760579966,46.460540771484375,46.05116653442383,11480,43,5942.067078079184,0.0994453728199005,138.18760646695776
115,4854.528760801841,211845.67515202984,41.8973274230957,34.843101501464844,11580,53,4414.988233345823,0.0994078740477562,83.30166478010986
116,4806.703828714206,210775.6802771797,47.36565399169922,49.21231460571289,11680,41,5633.180123665195,0.0993703752756118,137.39463716256574
117,4801.566591666939,209764.5121509853,39.11305618286133,48.71299362182617,11780,39,5648.737452321235,0.0993328765034675,144.83942185439062
118,4816.724497098228,208810.8151235261,43.483489990234375,52.75484848022461,11880,47,5720.759024238927,0.0992953777313232,121.71827711146652
119,4819.653790234239,207913.1768281097,42.49740219116211,53.24550628662109,11980,42,4978.050400267399,0.0992578789591789,118.52500953017616
120,4808.090192794218,207070.1118118969,41.28547286987305,41.395782470703125,12080,39,5212.983235992957,0.0992203801870346,133.66623682033222
121,4845.630394186985,206280.5858155744,45.61729431152344,49.87213516235352,12180,50,4493.196592035441,0.0991828739643096,89.86393184070883
122,4824.28093143343,205543.1194365208,42.74288940429688,43.39705657958984,12280,45,5244.796021897317,0.0991453751921653,116.55102270882928
123,4826.796011638158,204856.4734507716,43.28072738647461,47.38864135742188,12380,44,4842.9342948254925,0.099107876420021,110.0666885187612
124,4823.443058825651,204219.40134526492,46.17829895019531,40.337432861328125,12480,45,4973.870418809092,0.0990703776478767,110.53045375131316
125,4824.481700161938,203630.7310327042,43.7008171081543,44.723731994628906,12580,46,5386.483000609151,0.0990328788757324,117.09745653498152
126,4821.142296853039,203089.29286913536,43.79206848144531,45.615211486816406,12680,43,4741.1865512894,0.0989953801035881,110.26015235556744
